iter	RMSE
467	80224.41567
468	80095.61896
469	80033.11225
470	79920.08806
471	79839.78416
472	79738.69634
473	79697.12858
474	79622.3832
475	79570.32004
476	79486.06853
477	79424.97429
478	79293.34784
479	79241.8974
480	79174.9325
481	79104.75416
482	79045.5319
483	78971.16841
484	78875.54188
485	78757.91538
486	78635.59513
487	78513.46678
488	78470.46995
489	78324.68318
490	78240.53307
491	78211.96786
492	78133.09605
493	78065.7262
494	77963.85149
495	77883.40508
496	77816.50326
497	77746.44964
498	77657.2675
499	77581.4279
500	77493.60751
501	77398.67657
502	77325.86724
503	77230.64767
504	77118.48257
505	77025.59027
506	76967.46528
507	76861.15137
508	76766.9951
509	76686.22249
510	76594.95838
511	76512.28674
512	76439.82555
513	76397.49125
514	76340.17103
515	76277.84681
516	76200.21939
517	76148.31661
518	76044.90121
519	75994.63697
520	75902.81484
521	75822.1939
522	75698.12654
523	75619.1925
524	75604.00266
525	75542.87705
526	75503.42009
527	75443.55767
528	75356.98289
529	75273.76617
530	75197.76264
531	75096.01353
532	75006.96363
533	74979.3449
534	74870.51253
535	74822.5629
536	74770.50409
537	74700.59304
538	74653.90662
539	74565.67268
540	74487.48141
541	74415.19859
542	74354.32322
543	74271.8341
544	74249.38271
545	74164.87439
546	74102.0886
547	74013.28055
548	73918.75517
549	73845.66499
550	73776.98388
551	73711.03949
552	73638.15451
553	73617.02014
554	73560.25872
555	73517.72097
556	73408.65018
557	73346.91566
558	73294.12528
559	73227.36906
560	73152.08563
561	73081.19225
562	73026.84049
563	72937.54619
564	72865.43401
565	72834.93997
566	72747.75106
567	72633.13887
568	72526.34733
569	72460.79791
570	72398.22312
571	72345.01306
572	72304.37204
573	72225.46707
574	72180.28528
575	72112.83661
576	72043.51889
577	72016.20439
578	71929.28299
579	71869.77919
580	71831.44171
581	71790.76528
582	71696.85053
583	71596.08421
584	71576.99077
585	71540.48429
586	71468.50042
587	71406.62919
588	71335.92698
589	71274.80524
590	71235.62936
591	71167.08151
592	71130.08682
593	71048.21667
594	70969.18489
595	70861.06754
596	70794.0374
597	70783.24879
598	70718.76794
599	70634.53081
600	70572.89684
601	70512.74201
602	70502.38248
603	70440.30806
604	70377.18703
605	70351.2869
606	70344.19592
607	70337.33354
608	70264.57193
609	70254.81583
610	70204.6172
611	70148.18418
612	70096.57942
613	70037.27001
614	69948.54873
615	69904.84961
616	69895.32144
617	69823.59636
618	69750.08583
619	69689.55111
620	69683.10322
621	69631.06904
622	69601.50635
623	69534.30442
624	69450.60763
625	69388.63611
626	69379.61255
627	69310.38761
628	69257.24642
629	69208.18154
630	69087.97537
631	69082.05022
632	69021.25136
633	68951.68567
634	68897.86464
635	68832.78133
636	68783.29025
637	68740.56738
638	68732.23368
639	68658.33384
640	68550.91935
641	68498.75919
642	68448.14671
643	68385.36993
644	68379.92158
645	68307.43955
646	68245.76682
647	68238.84767
648	68149.31667
649	68093.29815
650	67991.63175
651	67923.39468
652	67883.81835
653	67784.27989
654	67750.29161
655	67680.56514
656	67648.07195
657	67568.40583
658	67493.5396
659	67400.38494
660	67343.47184
661	67290.00795
662	67245.66023
663	67154.51373
664	67102.81934
665	67047.12572
666	66999.02706
667	66940.84629
668	66893.34134
669	66851.61327
670	66764.42047
671	66743.48436
672	66662.58417
673	66599.0469
674	66548.4433
675	66472.89968
676	66435.89418
677	66352.67779
678	66284.20845
679	66218.73807
680	66167.78744
681	66137.56157
682	66073.86123
683	66026.10802
684	65969.71071
685	65898.19821
686	65813.14733
687	65779.01097
688	65713.67826
689	65655.40947
690	65593.51189
691	65552.54773
692	65513.06865
693	65458.203
694	65419.63695
695	65414.32363
696	65371.47542
697	65317.84289
698	65259.08539
699	65197.62154
700	65167.36885
701	65134.77124
702	65073.02988
703	64987.90959
704	64948.43363
705	64898.51453
706	64841.39227
707	64782.3996
708	64707.79419
709	64667.18886
710	64622.25999
711	64554.92622
712	64512.21547
713	64449.06091
714	64382.59584
715	64366.53808
716	64324.5938
717	64295.9269
718	64235.67246
719	64202.48646
720	64170.74591
721	64155.06712
722	64087.9664
723	64072.66812
724	63995.98959
725	63958.90192
726	63943.90441
727	63898.77433
728	63853.11232
729	63813.19938
730	63744.9854
731	63703.16092
732	63647.64376
733	63617.96106
734	63579.68341
735	63524.8963
736	63500.25992
737	63445.27383
738	63376.52595
739	63346.0596
740	63288.36598
741	63241.76842
742	63207.67494
743	63175.432
744	63131.32475
745	63113.4062
746	63034.59384
747	62979.50964
748	62941.68541
749	62915.49719
750	62884.15517
751	62850.09835
752	62753.75595
753	62698.39236
754	62674.06363
755	62648.32654
756	62553.38233
757	62481.79077
758	62454.17259
759	62419.52686
760	62410.40254
761	62381.76068
762	62327.24664
763	62261.75403
764	62247.31542
765	62186.81423
766	62154.28261
767	62110.95486
768	62084.83955
769	62015.69564
770	61986.71442
771	61949.99006
772	61941.38697
773	61851.4471
774	61796.96111
775	61782.45861
776	61735.12509
777	61653.36019
778	61589.18043
779	61566.50347
780	61522.60584
781	61455.89371
782	61410.70328
783	61317.94795
784	61272.02808
785	61206.33772
786	61158.53075
787	61129.99038
788	61098.71261
789	61070.90857
790	61003.84519
791	60976.84554
792	60945.28217
793	60898.20067
794	60861.75752
795	60835.74051
796	60774.03692
797	60733.52247
798	60710.32071
799	60687.94371
800	60664.03724
801	60598.19099
802	60571.16477
803	60539.50473
804	60516.98807
805	60468.3662
806	60419.77454
807	60339.48146
808	60315.95691
809	60260.3907
810	60224.23158
811	60172.30449
812	60121.72026
813	60099.79777
814	60036.14958
815	59934.08756
816	59902.63588
817	59872.83215
818	59817.44443
819	59777.95688
820	59729.525
821	59644.5172
822	59614.1685
823	59579.36907
824	59533.27723
825	59510.34115
826	59450.85458
827	59417.70633
828	59377.34605
829	59332.89601
830	59307.27393
831	59258.53507
832	59232.87139
833	59207.57419
834	59144.26237
835	59098.96825
836	59070.22687
837	59010.53088
838	58974.37738
839	58948.63971
840	58899.92765
841	58852.53093
842	58839.30821
843	58827.069
844	58797.22387
845	58751.58223
846	58738.88369
847	58726.55431
848	58673.72214
849	58646.06963
850	58634.22097
851	58591.22519
852	58556.80004
853	58483.63229
854	58450.49674
855	58429.6582
856	58417.61736
857	58355.70706
858	58307.28575
859	58271.57058
860	58204.14548
861	58162.397
862	58093.75626
863	58043.16932
864	58023.87393
865	57972.11958
866	57929.10143
867	57881.16146
868	57851.69029
869	57819.4576
870	57757.76418
871	57725.88246
872	57713.96555
873	57655.40231
874	57618.53274
875	57562.25061
876	57551.27313
877	57497.43863
878	57452.69499
879	57411.70063
880	57362.79998
881	57305.44525
882	57253.72933
883	57240.10545
884	57230.04961
885	57205.64998
886	57158.5951
887	57124.55437
888	57091.35016
889	57084.05424
890	57030.69888
891	56964.89671
892	56941.38806
893	56896.82144
894	56857.56882
895	56808.28817
896	56806.30165
897	56776.45492
898	56756.28273
899	56725.12907
900	56665.37445
901	56640.14038
902	56611.05858
903	56590.64671
904	56553.30393
905	56513.63295
906	56496.47044
907	56469.44778
908	56409.86297
909	56361.7771
910	56325.33232
911	56273.11722
912	56237.41089
913	56185.28392
914	56161.41632
915	56079.24883
916	56018.36024
917	55994.9966
918	55955.64657
919	55944.08494
920	55880.37876
921	55865.58926
922	55827.9064
923	55790.14881
924	55750.67006
925	55703.86936
926	55677.43546
927	55650.42082
928	55619.82772
929	55597.84002
930	55562.05752
931	55532.35753
932	55496.12594
933	55470.82047
934	55461.18787
935	55432.85592
936	55387.39994
937	55329.43011
938	55298.55795
939	55251.30581
940	55224.32793
941	55194.58963
942	55139.18041
943	55085.21771
944	55047.62656
945	55042.89531
946	55022.36264
947	54991.44195
948	54982.26176
949	54945.90071
950	54922.0892
951	54888.75182
952	54860.28124
953	54839.17767
954	54807.79472
955	54772.06058
956	54757.80617
957	54725.73123
958	54714.54501
959	54675.06332
960	54650.71153
961	54623.4461
962	54587.10081
963	54553.03287
964	54531.87915
965	54523.62663
966	54471.98073
967	54441.44135
968	54400.67842
969	54391.19551
970	54383.02779
971	54335.56545
972	54289.63575
973	54270.73579
974	54249.78891
975	54241.93856
976	54215.88509
977	54181.43277
978	54172.91151
979	54152.15337
980	54124.25112
981	54085.0643
982	54049.90616
983	54023.33855
984	53983.44028
985	53940.04377
986	53904.93799
987	53877.23495
988	53858.01144
989	53821.96234
990	53801.35312
991	53778.65885
992	53734.75876
993	53727.81377
994	53681.72143
995	53666.06384
996	53661.56692
997	53617.10304
998	53582.06634
999	53556.37836
